timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662119392436,4,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=5,4,0,0
1662119392437,9,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=6,9,0,0
1662119392446,5,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=6,5,0,0
1662119392440,14,GET All Authors,200,OK,Stress Testing 1-2,text,true,,47563,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,12,0,0
1662119392454,4,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392451,11,GET All Authors,200,OK,Stress Testing 1-1,text,true,,63507,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,9,0,0
1662119392458,5,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=7,5,0,0
1662119392462,4,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392463,6,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=7,6,0,0
1662119392466,6,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=8,6,0,0
1662119392469,7,GET All Authors,200,OK,Stress Testing 1-2,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392472,5,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=8,5,0,0
1662119392476,4,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392477,9,GET All Authors,200,OK,Stress Testing 1-1,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,8,0,0
1662119392480,6,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=9,6,0,0
1662119392486,4,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392487,7,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=9,7,0,0
1662119392490,5,GET Author,200,OK,Stress Testing 1-1,text,true,,333,183,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=10,5,0,0
1662119392495,5,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,274,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=10,5,0,0
1662119392495,8,GET All Authors,200,OK,Stress Testing 1-2,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392500,8,GET All Authors,200,OK,Stress Testing 1-1,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392503,8,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,8,0,0
1662119392508,4,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392511,5,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=1,5,0,0
1662119392512,6,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=2,6,0,0
1662119392516,4,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=1,4,0,0
1662119392519,5,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=2,5,0,0
1662119392524,7,GET All Authors,200,OK,Stress Testing 1-1,text,true,,48712,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392520,12,GET All Authors,200,OK,Stress Testing 1-2,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,11,0,0
1662119392532,5,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,5,0,0
1662119392531,6,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392537,5,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=3,5,0,0
1662119392538,4,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=4,4,0,0
1662119392542,9,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=4,9,0,0
1662119392542,9,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=3,9,0,0
1662119392551,11,GET All Authors,200,OK,Stress Testing 1-1,text,true,,63507,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,10,0,0
1662119392552,12,GET All Authors,200,OK,Stress Testing 1-2,text,true,,40553,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,11,0,0
1662119392562,4,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392564,4,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392566,5,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=5,5,0,0
1662119392568,5,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=6,5,0,0
1662119392574,5,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=6,5,0,0
1662119392572,7,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=5,7,0,0
1662119392580,6,GET All Authors,200,OK,Stress Testing 1-1,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392579,9,GET All Authors,200,OK,Stress Testing 1-2,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,8,0,0
1662119392586,4,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392588,6,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392590,7,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=8,7,0,0
1662119392594,6,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=7,6,0,0
1662119392597,4,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=8,4,0,0
1662119392600,5,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=7,5,0,0
1662119392601,8,GET All Authors,200,OK,Stress Testing 1-1,text,true,,60356,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
1662119392610,5,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,5,0,0
1662119392605,11,GET All Authors,200,OK,Stress Testing 1-2,text,true,,63507,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,9,0,0
1662119392616,5,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,5,0,0
1662119392615,7,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=9,7,0,0
1662119392622,4,GET Author,200,OK,Stress Testing 1-2,text,true,,333,183,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=10,4,0,0
1662119392623,4,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=9,4,0,0
1662119392626,4,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,274,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=10,4,0,0
1662119392628,9,GET All Authors,200,OK,Stress Testing 1-1,text,true,,63507,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,8,0,0
1662119392637,5,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,5,0,0
1662119392631,13,GET All Authors,200,OK,Stress Testing 1-2,text,true,,35339,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,12,0,0
1662119392642,7,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=1,7,0,0
1662119392644,8,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,8,0,0
1662119392649,4,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=1,4,0,0
1662119392652,5,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=2,5,0,0
1662119392653,10,GET All Authors,200,OK,Stress Testing 1-1,text,true,,63507,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,8,0,0
1662119392658,5,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=2,5,0,0
1662119392663,5,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,5,0,0
1662119392664,6,GET All Authors,200,OK,Stress Testing 1-2,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392668,5,GET Author,200,OK,Stress Testing 1-1,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=3,5,0,0
1662119392670,5,POST Authors,200,OK,Stress Testing 1-2,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,5,0,0
1662119392673,4,DELETE Author,200,OK,Stress Testing 1-1,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=3,4,0,0
1662119392675,6,GET Author,200,OK,Stress Testing 1-2,text,true,,330,182,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=4,6,0,0
1662119392677,8,GET All Authors,200,OK,Stress Testing 1-1,text,true,,31723,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,6,0,0
1662119392681,5,DELETE Author,200,OK,Stress Testing 1-2,,true,,211,272,2,2,https://testapp-appservice.azurewebsites.net/api/Authors/?id=4,5,0,0
1662119392685,4,POST Authors,200,OK,Stress Testing 1-1,text,true,,262,260,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,4,0,0
1662119392686,8,GET All Authors,200,OK,Stress Testing 1-2,text,true,,47615,176,2,2,https://testapp-appservice.azurewebsites.net/api/Authors,7,0,0
